Domain,Type,TLD Manager,RDAP URLs
.coupon,generic,"Amazon Registry Services, Inc.",https://rdap.identitydigital.services/rdap/
.coupons,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.courses,generic,"Registry Services, LLC",https://rdap.nic.courses/
.cpa,generic,American Institute of Certified Public Accountants,https://rdap.nic.cpa/
.cr,country-code,National Academy of Sciences (Academia Nacional de Ciencias),https://rdap.nic.cr/
.credit,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.creditcard,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.creditunion,generic,"DotCooperation, LLC",https://rdap.registry.coop/rdap/
.cricket,generic,dot Cricket Limited,https://rdap.nic.cricket/
.crown,generic,Crown Equipment Corporation,https://rdap.crown.fury.ca/rdap/
.crs,generic,Federated Co-operatives Limited,https://rdap.identitydigital.services/rdap/
.cruise,generic,Viking River Cruises (Bermuda) Ltd.,https://rdap.identitydigital.services/rdap/
.cruises,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.csc,generic,Not assigned,
.cu,country-code,CENIAInternet,
.cuisinella,generic,SCHMIDT GROUPE S.A.S.,https://rdap.nic.cuisinella/
.cv,country-code,Agência Reguladora Multissectorial da Economia (ARME),https://rdap.nic.cv/
.cw,country-code,University of Curacao,
.cx,country-code,Christmas Island Domain Administration Limited,https://rdap.nic.cx/
.cy,country-code,University of Cyprus,
.cymru,generic,Nominet UK,https://rdap.nominet.uk/cymru/
.cyou,generic,Shortdot SA,https://rdap.centralnic.com/cyou/
.cz,country-code,"CZ.NIC, z.s.p.o",https://rdap.nic.cz/
.dabur,generic,Not assigned,
.dad,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.dance,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.data,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.date,generic,dot Date Limited,https://rdap.nic.date/
.dating,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.datsun,generic,"NISSAN MOTOR CO., LTD.",https://rdap.gmoregistry.net/rdap/
.day,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.dclk,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.dds,generic,"Registry Services, LLC",https://rdap.nic.dds/
.de,country-code,DENIC eG,
.deal,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/deal/
.dealer,generic,Intercap Registry Inc.,https://rdap.centralnic.com/dealer/
.deals,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.degree,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.delivery,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.dell,generic,Dell Inc.,https://rdap.nic.dell/
.deloitte,generic,Deloitte Touche Tohmatsu,https://rdap.centralnic.com/deloitte/
.delta,generic,"Delta Air Lines, Inc.",https://rdap.identitydigital.services/rdap/
.democrat,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.dental,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.dentist,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.desi,generic,Emergency Back-End Registry Operator Program - ICANN,https://rdap.nominet.uk/desi/
.design,generic,"Registry Services, LLC",https://rdap.nic.design/
.dev,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.dhl,generic,Deutsche Post AG,https://rdap.centralnic.com/dhl/
.diamonds,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.diet,generic,XYZ.COM LLC,https://rdap.centralnic.com/diet/
.digital,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.direct,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.directory,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.discount,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.discover,generic,Discover Financial Services,https://rdap.identitydigital.services/rdap/
.dish,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.diy,generic,Internet Naming Co.,https://rdap.nic.diy/rdap/
.dj,country-code,Djibouti Telecom S.A,
.dk,country-code,Dansk Internet Forum,
.dm,country-code,DotDM Corporation,
.dnp,generic,"Dai Nippon Printing Co., Ltd.",https://rdap.gmoregistry.net/rdap/
.do,country-code,"Pontificia Universidad Catolica Madre y Maestra, Recinto Santo Tomas de Aquino",
.docs,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.doctor,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.dodge,generic,Not assigned,
.dog,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.doha,generic,Not assigned,
.domains,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.doosan,generic,Not assigned,
.dot,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.download,generic,dot Support Limited,https://rdap.nic.download/
.drive,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.dtv,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.dubai,generic,Dubai Smart Government Department,https://rdap.nic.dubai/
.duck,generic,Not assigned,
.dunlop,generic,The Goodyear Tire & Rubber Company,https://rdap.identitydigital.services/rdap/
.duns,generic,Not assigned,
.dupont,generic,"DuPont Specialty Products USA, LLC",https://rdap.nic.dupont/
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,https://rdap.nic.durban/rdap/
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,https://rdap.centralnic.com/dvag/
.dvr,generic,DISH Technologies L.L.C.,https://rdap.mobile-registry.com/rdap/
.dz,country-code,CERIST,
.earth,generic,Interlink Systems Innovation Institute K.K.,https://rdap.nic.earth/
.eat,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.ec,country-code,ECUADORDOMAIN S.A.,https://rdap.registry.ec/
.eco,generic,Big Room Inc.,https://rdap.eco.fury.ca/rdap/
.edeka,generic,EDEKA Verband kaufmännischer Genossenschaften e.V.,https://rdap.identitydigital.services/rdap/
.edu,sponsored,EDUCAUSE,
.education,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.ee,country-code,Eesti Interneti Sihtasutus (EIS),
.eg,country-code,"Egyptian Universities Network (EUN), Supreme Council of Universities",
.eh,country-code,Not assigned,
.email,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.emerck,generic,Merck KGaA,https://rdap.identitydigital.services/rdap/
.emerson,generic,Not assigned,
.energy,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.engineer,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.engineering,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.enterprises,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
